Poupança
Sigla;Código;Município;2020;2021;2022;2023;2024;
AC;1200013;Acrelândia;10450,7028016144;9542,8082364084;7711,0869748958;7150,43472944823;7329,51170669194;
AC;1200054;Assis Brasil;2794,9722749722;2067,8161553774;2400,0338721926;2619,11053360454;2839,82797484778;
AC;1200104;Brasiléia;30032,3459342309;24918,9246683774;25602,8100453484;21668,2266208654;21457,1286721465;
AC;1200138;Bujari;5079,7559392034;3609,6385928787;3756,5571409041;3721,81285364261;4399,81991886698;
AC;1200179;Capixaba;;;;;;
AC;1200203;Cruzeiro do Sul;116749,569417993;113844,687257901;112892,109396883;104976,474214604;110235,128766437;
AC;1200252;Epitaciolândia;12708,6575419715;20926,2424685316;19013,6365868648;16329,3384987967;18609,4986636802;
AC;1200302;Feijó;15377,9032737661;9916,7041430221;10918,0926029807;10543,2479471395;9507,63686937303;
AC;1200328;Jordão;;;;;;
AC;1200336;Mâncio Lima;7600,8188330418;;;;;
AC;1200344;Manoel Urbano;6198,5289250202;5434,4460978436;5176,5134730946;4313,17272019386;4511,64893609882;
AC;1200351;Marechal Thaumaturgo;;;;;;
AC;1200385;Plácido de Castro;8305,1609356618;7707,6832738822;5844,134455853;5063,24065141221;4778,60477110537;
AC;1200393;Porto Walter;;;;;;
AC;1200401;Rio Branco;600030,518881482;513638,629959496;472562,451283456;439680,571156529;452497,073026148;
AC;1200427;Rodrigues Alves;;;;;;
AC;1200435;Santa Rosa do Purus;;;;;;
AC;1200450;Senador Guiomard;21511,205301115;17287,3319925664;18168,0697991092;16646,4447097371;18040,6832627163;
AC;1200500;Sena Madureira;41197,4685717309;32810,5630416648;31611,8727414327;32051,9401905753;27865,6285675635;
AC;1200609;Tarauacá;25800,9502253909;28044,5884162123;27879,708220712;26433,266901088;26733,3154540213;
AC;1200708;Xapuri;12534,4310169377;3060,9651352101;2557,2645453049;2464,27522227046;;
AC;1200807;Porto Acre;6651,1825813312;6168,7826236234;6517,8485619957;5577,3903604295;5419,95344164677;
AL;2700102;Água Branca;17253,7326592845;15570,9703142067;17810,1121451237;18819,1198413347;18003,8021394919;
AL;2700201;Anadia;;;;;;
AL;2700300;Arapiraca;363930,414558216;296025,029037231;320029,64018068;316181,157686997;342320,399441667;
AL;2700409;Atalaia;25190,2249190767;29469,8501622;30082,3942009225;29013,0349709344;34573,6679411903;
AL;2700508;Barra de Santo Antônio;;;;;;
AL;2700607;Barra de São Miguel;;;;;;
AL;2700706;Batalha;16768,6932622546;1314,0931187854;1960,3865364363;1667,63285295334;3158,10698692797;
AL;2700805;Belém;;;;;;
AL;2700904;Belo Monte;;;;;;
AL;2701001;Boca da Mata;23905,4123461682;19997,9896666359;20697,8374078145;20788,810690868;19844,3407483223;
AL;2701100;Branquinha;;;;;;
AL;2701209;Cacimbinhas;;;;;;
AL;2701308;Cajueiro;;;;;;
AL;2701357;Campestre;;;;;;
AL;2701407;Campo Alegre;18271,6370181134;10864,6599392516;11358,6128226342;12208,0044466619;12968,5775439899;
AL;2701506;Campo Grande;;;;;;
AL;2701605;Canapi;;;;;;
AL;2701704;Capela;29269,5158276822;25239,0870740805;27393,3473765452;26364,7536751574;26807,6646157068;
AL;2701803;Carneiros;;;;;;
AL;2701902;Chã Preta;;;;;;
AL;2702009;Coité do Nóia;;;;;;
AL;2702108;Colônia Leopoldina;;;;;;
AL;2702207;Coqueiro Seco;;;;;;
AL;2702306;Coruripe;61020,9266422835;49609,7490500786;51372,5128666165;50006,4367767002;54710,4657945988;
AL;2702355;Craíbas;3143,2612063278;2746,0929316069;;;;
AL;2702405;Delmiro Gouveia;125172,625109672;107768,287500826;110855,602134186;113126,30581425;118480,106132369;
AL;2702504;Dois Riachos;;;;;;
AL;2702553;Estrela de Alagoas;;;;;;
AL;2702603;Feira Grande;;;;;;
AL;2702702;Feliz Deserto;;;;;;
AL;2702801;Flexeiras;;;;;;
AL;2702900;Girau do Ponciano;41599,9546734192;35975,2025879911;42313,2337419493;45569,2476353732;54665,915383014;
AL;2703007;Ibateguara;;;;;;
AL;2703106;Igaci;9582,1195574685;7810,4973046462;8669,9155893516;9137,62084029065;11015,8987346814;
AL;2703205;Igreja Nova;;;;;;
AL;2703304;Inhapi;;;;;;
AL;2703403;Jacaré dos Homens;;;;;;
AL;2703502;Jacuípe;;;;;;
AL;2703601;Japaratinga;;;;;;
AL;2703700;Jaramataia;;;;;;
AL;2703759;Jequiá da Praia;;;;;;
AL;2703809;Joaquim Gomes;9864,4675955981;8058,3138514325;8482,4310666393;9324,62265531656;11301,3561862409;
AL;2703908;Jundiá;;;;;;
AL;2704005;Junqueiro;;;;;;
AL;2704104;Lagoa da Canoa;1670,8704442836;1525,4993734722;;;;
AL;2704203;Limoeiro de Anadia;7873,4680357686;;;;;
AL;2704302;Maceió;2535941,0382192;2339006,68362071;2154184,34966635;1910635,85870114;1907468,61046111;
AL;2704401;Major Isidoro;16765,7269880395;30263,7486024883;31108,1649158774;30121,9990326633;34302,0601136036;
AL;2704500;Maragogi;25381,6585786653;30283,1422199663;30957,9059380118;27006,7549432157;30617,7135023428;
AL;2704609;Maravilha;;;;;;
AL;2704708;Marechal Deodoro;12983,0281441806;13098,5451372835;18511,184926557;15937,0382353356;16497,7776423339;
AL;2704807;Maribondo;27780,4873333032;23922,4805644532;25417,2878706455;25550,3306579363;28453,7215736817;
AL;2704906;Mar Vermelho;;;;;;
AL;2705002;Mata Grande;5305,5421254921;2178,7080963871;1901,3962113491;1806,76944839058;2131,97511164939;
AL;2705101;Matriz de Camaragibe;;;;;;
AL;2705200;Messias;;;;;;
AL;2705309;Minador do Negrão;;;;;;
AL;2705408;Monteirópolis;;;;;;
AL;2705507;Murici;26956,8082353078;24497,7917010462;25526,544494742;24692,3146339196;29276,8288332378;
AL;2705606;Novo Lino;;;;;;
AL;2705705;Olho d'Água das Flores;19343,7306315816;16450,9077372781;19313,0821423796;19193,2788394467;24736,5431604263;
AL;2705804;Olho d'Água do Casado;;;;;;
AL;2705903;Olho d'Água Grande;;;;;;
AL;2706000;Olivença;;;;;;
AL;2706109;Ouro Branco;;;;;;
AL;2706208;Palestina;;;;;;
AL;2706307;Palmeira dos Índios;128780,173930921;112747,48484477;112048,330817893;111141,437958411;121550,933308972;
AL;2706406;Pão de Açúcar;21433,0346614142;9015,3974493509;10413,5871496837;10646,1833756785;12662,6371445754;
AL;2706422;Pariconha;;;;;;
AL;2706448;Paripueira;;;;;;
AL;2706505;Passo de Camaragibe;;;;;;
AL;2706604;Paulo Jacinto;;;;;;
AL;2706703;Penedo;109280,195952834;92540,7373409421;88178,6337192405;88273,6717853329;94104,6103791444;
AL;2706802;Piaçabuçu;;;;;;
AL;2706901;Pilar;36604,3103657533;24851,422239164;26223,3429890618;24883,4541457076;26888,9346503502;
AL;2707008;Pindoba;;;;;;
AL;2707107;Piranhas;7798,1623494059;6315,6684061107;7839,1121341562;8322,33921010508;9780,87151570284;
AL;2707206;Poço das Trincheiras;;;;;;
AL;2707305;Porto Calvo;61519,1931631707;42695,3762583254;43087,1859845254;42955,3844535715;44164,5443594236;
AL;2707404;Porto de Pedras;;;;;;
AL;2707503;Porto Real do Colégio;;;;;;
AL;2707602;Quebrangulo;;;;;;
AL;2707701;Rio Largo;72230,708567148;60392,891267396;64830,3055782269;63740,1146885416;66124,2339742797;
AL;2707800;Roteiro;;;;;;
AL;2707909;Santa Luzia do Norte;;;;;;
AL;2708006;Santana do Ipanema;109159,972927498;91242,2386160417;91062,8031285819;88351,3967017822;93581,5467934376;
AL;2708105;Santana do Mundaú;;;;;;
AL;2708204;São Brás;;;;;;
AL;2708303;São José da Laje;24168,7025606002;23032,8150633128;21241,1496602962;21636,7891204667;22882,7457818881;
AL;2708402;São José da Tapera;22666,7092156756;18873,7283861817;20821,7886713525;21221,6211317189;23445,6250670024;
AL;2708501;São Luís do Quitunde;16392,3864698595;23647,2000703867;25120,7283011887;22024,1748468646;25327,2792546235;
AL;2708600;São Miguel dos Campos;84608,2705917832;69600,7249112435;68174,8033274181;64767,5473163454;69392,4458656941;
AL;2708709;São Miguel dos Milagres;;;;;;
AL;2708808;São Sebastião;44771,6960172876;40982,5698080293;45879,2843004531;49476,1819416496;53681,1188843126;
AL;2708907;Satuba;;;;;;
AL;2708956;Senador Rui Palmeira;;;;;;
AL;2709004;Tanque d'Arca;;;;;;
AL;2709103;Taquarana;13788,0256777765;11420,6707925787;12632,8688623347;12949,195955281;14086,5486550052;
AL;2709152;Teotônio Vilela;33534,0197162023;35072,3916500366;35434,2772682942;34153,8983229668;38306,3700655028;
AL;2709202;Traipu;;;;;;
AL;2709301;União dos Palmares;97988,2486016104;81789,6575575234;86765,9566699557;80892,7894248572;85018,6504426239;
AL;2709400;Viçosa;55961,7066506127;50387,8820627223;52568,7133968016;49833,5693665225;54275,0455915411;
AM;1300029;Alvarães;;;;;;
AM;1300060;Amaturá;;;;;;
AM;1300086;Anamã;;;;;;
AM;1300102;Anori;;;;;;
AM;1300144;Apuí;8240,6211201873;7713,1497212966;5522,8637401591;4590,45973274917;4300,56428039541;
AM;1300201;Atalaia do Norte;;;;;;
AM;1300300;Autazes;10045,7538638182;10004,2776918631;10409,9249751378;11962,9522179722;14118,1475411;
AM;1300409;Barcelos;4578,0582290356;4848,8582485737;4259,7202344034;4188,26088839779;4772,63714302836;
AM;1300508;Barreirinha;2613,3862658244;3192,8790677457;2509,0034728122;1908,35113048905;2160,84700835965;
AM;1300607;Benjamin Constant;6974,9888003695;6513,376325376;5721,4975498223;5854,84500694454;7196,518289686;
AM;1300631;Beruri;1839,0652108619;2113,9758455437;2094,3739958803;2064,47926762961;2251,82399077218;
AM;1300680;Boa Vista do Ramos;;;;;;
AM;1300706;Boca do Acre;20179,5038538363;17878,8989167512;13885,6020790855;13211,2936956317;11707,4463835815;
AM;1300805;Borba;8777,6091028799;9114,708841379;8154,4682410673;8191,83821677371;9284,71149419802;
AM;1300839;Caapiranga;;;;;;
AM;1300904;Canutama;4240,0982222863;4101,6183863984;4191,756925375;3859,9240198823;4526,80237848314;
AM;1301001;Carauari;15276,8082579438;15566,5670240117;15317,3858786983;16178,9994573532;17713,3578779354;
AM;1301100;Careiro;11232,7421854632;10214,6392666618;10959,2441564535;16765,1377304905;23166,3124997994;
AM;1301159;Careiro da Várzea;;;;;;
AM;1301209;Coari;28350,6621248981;27498,7036142449;26492,9678554067;31696,3313211287;29044,2961677131;
AM;1301308;Codajás;7345,3366586893;6366,9472646175;6177,2418272208;6677,09775667488;6929,33793005873;
AM;1301407;Eirunepé;12846,8138348134;11571,8940101569;11690,9313169762;11338,1395637357;12776,2781148867;
AM;1301506;Envira;3856,4636085514;3113,9803890864;3277,8457349197;3476,85425465243;5184,88404181076;
AM;1301605;Fonte Boa;5020,4119849497;5679,7734164521;5752,6855383298;6134,3930336396;6450,81687787987;
AM;1301654;Guajará;;;;;;
AM;1301704;Humaitá;34102,345401793;30831,1599692608;25061,9160531673;20653,4891990361;20062,9686434762;
AM;1301803;Ipixuna;2234,1511945431;2350,504164206;2222,1764494246;2683,64756378309;3500,05207574048;
AM;1301852;Iranduba;12376,9472391058;13522,5889949696;11210,9672460306;11189,4359755578;15739,1522782369;
AM;1301902;Itacoatiara;56376,2019147834;49676,1087274143;52522,2365952525;47232,2174022029;47481,0487394348;
AM;1301951;Itamarati;;;;;;
AM;1302009;Itapiranga;;;;;;
AM;1302108;Japurá;;;;;;
AM;1302207;Juruá;;;;;;
AM;1302306;Jutaí;4339,6565381416;4321,5952801671;3978,6892476;3184,79746365516;4057,47107964002;
AM;1302405;Lábrea;17588,0751940991;16998,9723905675;16906,1833336725;17378,0115758879;19058,2288438152;
AM;1302504;Manacapuru;51165,4528576528;45754,1568044361;43046,2164459404;43413,1478226228;48809,564859258;
AM;1302553;Manaquiri;1939,5570508387;2300,4121189053;1786,9364116612;1559,0649233674;2420,61884330888;
AM;1302603;Manaus;3051045,86456054;2751551,60527638;2474572,18289527;2221061,65191471;2226869,06393636;
AM;1302702;Manicoré;15521,6728487332;14599,1133792042;13482,9851472144;16516,5774545461;18801,0733115516;
AM;1302801;Maraã;;;;;;
AM;1302900;Maués;18318,9723375977;16164,7360408227;16936,203101626;15932,0214824432;15325,2706826545;
AM;1303007;Nhamundá;3800,2347435508;3618,6664274672;3256,1680243011;3665,68859506248;3824,36370986682;
AM;1303106;Nova Olinda do Norte;3347,4496867275;3293,851050707;3381,7683602241;3542,59129866464;3941,18308222127;
AM;1303205;Novo Airão;3609,5572965489;3801,7208754133;3256,0135741679;3120,4047622273;3493,53889222541;
AM;1303304;Novo Aripuanã;3651,4487297491;4062,3071532762;2703,9917342894;2452,61689366637;2797,37982273805;
AM;1303403;Parintins;61126,071854619;57563,1997820777;51390,776485481;46055,6314365732;46626,0038373385;
AM;1303502;Pauini;2411,3951819435;2352,4381248877;2398,6158187036;2599,2855691185;2799,33633816105;
AM;1303536;Presidente Figueiredo;19026,9799340263;16203,1949478139;15897,7420986746;14487,8303875907;15981,8318810067;
AM;1303569;Rio Preto da Eva;6963,9506296245;6754,3226213428;7231,8649646467;6086,08583280589;6783,32602407952;
AM;1303601;Santa Isabel do Rio Negro;;;;;;
AM;1303700;Santo Antônio do Içá;5835,9136438351;7732,9076738467;4846,0195029887;5893,34766545076;5664,00776533997;
