Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;4390 - Taxa de juros - Selic acumulada no mês - % a.m.
01/2023;0,53 ;1,12
02/2023;0,84 ;0,92
03/2023;0,71 ;1,17
04/2023;0,61 ;0,92
05/2023;0,23 ;1,12
06/2023;-0,08 ;1,07
07/2023;0,12 ;1,07
08/2023;0,23 ;1,14
09/2023;0,26 ;0,97
10/2023;0,24 ;1,00
11/2023;0,28 ;0,92
12/2023;0,56 ;0,89
01/2024;0,42 ;0,97
02/2024;0,83 ;0,80
03/2024;0,16 ;0,83
04/2024;0,38 ;0,89
05/2024;0,46 ;0,83
06/2024;0,21 ;0,79
07/2024;0,38 ;0,91
08/2024;-0,02 ;0,87
09/2024;0,44 ;0,84
10/2024;0,56 ;0,93
11/2024;0,39 ;0,79
12/2024;0,52 ;0,93
01/2025;0,16 ;1,01
02/2025;1,31 ;0,99
03/2025;0,56 ;0,96
04/2025;0,43 ;1,06
05/2025;0,26 ;1,14
06/2025;0,24 ;1,10
07/2025;0,26 ;1,28
08/2025;-0,11 ;1,16
09/2025;0,48 ;1,22
10/2025;0,09 ;1,28
11/2025;0,18 ;1,05
12/2025;0,33 ;1,22
Fonte;IBGE;BCB-Demab
