porto,ano,mes,calado_maximo,dwt_medio
Paranaguá,2021,1,12.1,58200
Paranaguá,2021,2,12.3,59100
Paranaguá,2021,3,12.2,58800
Paranaguá,2021,4,12.5,60200
Paranaguá,2021,5,12.6,61000
Paranaguá,2021,6,12.4,59800
Paranaguá,2021,7,12.7,61500
Paranaguá,2021,8,12.8,62100
Paranaguá,2021,9,12.6,60900
Paranaguá,2021,10,12.9,62800
Paranaguá,2021,11,13.0,63400
Paranaguá,2021,12,12.9,63100
Paranaguá,2022,1,12.8,62500
Paranaguá,2022,2,13.1,63900
Paranaguá,2022,3,13.0,63200
Paranaguá,2022,4,13.2,64500
Paranaguá,2022,5,13.3,65200
Paranaguá,2022,6,13.1,64100
Paranaguá,2022,7,13.4,65800
Paranaguá,2022,8,13.5,66400
Paranaguá,2022,9,13.3,65100
Paranaguá,2022,10,13.6,67100
Paranaguá,2022,11,13.7,67800
Paranaguá,2022,12,13.5,66900
Paranaguá,2023,1,13.4,66200
Paranaguá,2023,2,13.8,68400
Paranaguá,2023,3,13.6,67500
Paranaguá,2023,4,13.9,69100
Paranaguá,2023,5,14.0,69900
Paranaguá,2023,6,13.8,68700
Paranaguá,2023,7,14.1,70600
Paranaguá,2023,8,14.2,71300
Paranaguá,2023,9,13.9,69800
Paranaguá,2023,10,14.3,72100
Paranaguá,2023,11,14.4,72800
Paranaguá,2023,12,14.2,71900
Paranaguá,2024,1,14.1,71200
Paranaguá,2024,2,14.5,73600
Paranaguá,2024,3,14.3,72400
Paranaguá,2024,4,14.6,74200
Paranaguá,2024,5,14.7,75100
Paranaguá,2024,6,14.4,73800
Paranaguá,2024,7,14.8,75900
Paranaguá,2024,8,14.9,76600
Paranaguá,2024,9,14.6,74900
Paranaguá,2024,10,15.1,77500
Paranaguá,2024,11,15.2,78300
Paranaguá,2024,12,14.9,77100
Paranaguá,2025,1,14.8,76400
Paranaguá,2025,2,15.3,79100
Paranaguá,2025,3,15.1,78000
Paranaguá,2025,4,15.4,79900
Paranaguá,2025,5,15.6,80800
Paranaguá,2025,6,15.2,78900
Paranaguá,2025,7,15.7,81600
Paranaguá,2025,8,15.8,82400
Paranaguá,2025,9,15.4,80200
Paranaguá,2025,10,16.0,83200
Paranaguá,2025,11,16.1,84100
Paranaguá,2025,12,15.8,82900
Santos,2021,1,13.2,65000
